Tipologia_Luogo,Nome_Descrizione,Dettagli_Struttura,Prezzo_Totale,Paga_Zero_Oggi,Cancellazione_Gratuita,URL_Annuncio
Appartamento ⋅ Venezia,a pochi minuti dalla biennale e da P.zza San Marco,"a pochi minuti dalla biennale e da P.zza San Marco | 2 camere da letto
2 camere da letto
2 bagni
,
 · 2 bagni | Host privato
Host privato",10.070 € in totale Mostra il dettaglio dei prezzi  10.070 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1126024346850122681
Appartamento ⋅ Venezia,*Luminoso appartamento di S. Mark con balcone e connessione a Internet in fibra,"*Luminoso appartamento di S. Mark con balcone e connessione a Internet in fibra | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",3834 € in totale Mostra il dettaglio dei prezzi  3834 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/48264504
Appartamento ⋅ Venezia,"Rio San Lorenzo vista canale, 5 minuti a San Marco","Rio San Lorenzo vista canale, 5 minuti a San Marco | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4550 € 3780 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1386106886831117234
Appartamento ⋅ Venezia,SPLENDIDA esperienza con VISTA SUL CANALE vicino a San Marco,"SPLENDIDA esperienza con VISTA SUL CANALE vicino a San Marco | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",7116 € in totale Mostra il dettaglio dei prezzi  7116 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/42429568
Appartamento ⋅ Venezia,Appartamento con giardino R&r nel quartiere Castello,"Appartamento con giardino R&r nel quartiere Castello | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",6317 € in totale Mostra il dettaglio dei prezzi  6317 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/955691533700422314
Appartamento ⋅ Venezia,Appartamento deluxe Biennale R&r,"Appartamento deluxe Biennale R&r | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4486 € in totale Mostra il dettaglio dei prezzi  4486 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1049918645815165674
Appartamento ⋅ Venezia,Ca'Lavinia • 2 suite • 2 bagni • 10 min da San Marco,"Ca'Lavinia • 2 suite • 2 bagni • 10 min da San Marco | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",5045 € in totale Mostra il dettaglio dei prezzi  5045 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1104833527912113318
Venezia: stanza,Accogliente casa e bagno con costumista,"Accogliente casa e bagno con costumista | 1 letto
1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",2996 € in totale Mostra il dettaglio dei prezzi  2996 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1179720635442247495
Appartamento ⋅ Venezia,Vera Aqua,"Vera Aqua | 1 letto
1 letto
Nessun bagno
,
 · Nessun bagno | Host privato
Host privato",4015 € in totale Mostra il dettaglio dei prezzi  4015 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1138419410649688342
Appartamento ⋅ Venezia,Stanza degli artisti,"Stanza degli artisti | 1 camera da letto
1 camera da letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",3330 € in totale Mostra il dettaglio dei prezzi  3330 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1136179732695200867
Lido di Venezia: stanze,Spaziosa casa a Lido di Venezia vicino al traghetto e al mare,"Spaziosa casa a Lido di Venezia vicino al traghetto e al mare | 3 camere da letto
3 camere da letto
4 letti
,
 · 4 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",13.865 € in totale Mostra il dettaglio dei prezzi  13.865 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/968713406283108635
Appartamento ⋅ Venezia,"Appartamento di lusso vicino a Piazza Piazza San Marco, vista sul canale","Appartamento di lusso vicino a Piazza Piazza San Marco, vista sul canale | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",5045 € in totale Mostra il dettaglio dei prezzi  5045 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/12818221
Appartamento ⋅ Venezia,Appartamento Real Biennale,"Appartamento Real Biennale | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",8224 € in totale Mostra il dettaglio dei prezzi  8224 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1494810355107522424
Appartamento ⋅ Venezia,Appartamento con vista sul canale di Venezia,"Appartamento con vista sul canale di Venezia | 1 camera da letto
1 camera da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",6949 € 6350 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/30760815
Appartamento ⋅ Venezia,Ca' Barbarina 1,"Ca' Barbarina 1 | 2 camere da letto
2 camere da letto
4 letti
,
 · 4 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",6181 € 5587 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1355742172750173409
Appartamento ⋅ Venezia,"Ca' Campaniel, il tuo angolo segreto a Venezia","Ca' Campaniel, il tuo angolo segreto a Venezia | 1 camera da letto
1 camera da letto
4 letti
,
 · 4 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3761 € in totale Mostra il dettaglio dei prezzi  3761 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/5401000
Appartamento ⋅ Castello,Signorile ampio appartamento vicino Piazza S.Marco,"Signorile ampio appartamento vicino Piazza S.Marco | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3460 € in totale Mostra il dettaglio dei prezzi  3460 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/904177851440853441
Appartamento ⋅ Castello,"Appartamento Alle Ancore, Venezia centro, Biennale","Appartamento Alle Ancore, Venezia centro, Biennale | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3750 € in totale Mostra il dettaglio dei prezzi  3750 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/25536105
Appartamento ⋅ Castello,"Appartamento di lusso Giardino, vicino a Piazza San Marco","Appartamento di lusso Giardino, vicino a Piazza San Marco | 1 camera da letto
1 camera da letto
1 letto matrimoniale
,
 · 1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4720 € 4248 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/25000708
Appartamento ⋅ Castello,L'Eclat du Jardin R&R,"L'Eclat du Jardin R&R | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",8636 € in totale Mostra il dettaglio dei prezzi  8636 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1542083720446112766
Appartamento ⋅ Castello,Ca' Melissa,"Ca' Melissa | 1 camera da letto
1 camera da letto
3 letti
,
 · 3 letti
Bagno di servizio
,
 · Bagno di servizio | Host professionista
Host professionista",3337 € 3057 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/28515468
Appartamento ⋅ Castello,Casa Clodia | Biennale Luxury Stay,"Casa Clodia | Biennale Luxury Stay | 2 camere da letto
2 camere da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
2 bagni
,
 · 2 bagni | Host privato
Host privato",5358 € in totale Mostra il dettaglio dei prezzi  5358 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1427626918899341234
Appartamento ⋅ Castello,Nuovo appartamento di lusso Gold Venice Arsenale,"Nuovo appartamento di lusso Gold Venice Arsenale | 2 letti
2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",1923 € 1769 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1613149442830276633
Appartamento ⋅ Castello,Casa autentica tra San Marco e Biennale,"Casa autentica tra San Marco e Biennale | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3333 € in totale Mostra il dettaglio dei prezzi  3333 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1464275109624163861
Alloggio (Castello),Appartamentino dietro San Marco,"Appartamentino dietro San Marco | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",3305 € in totale Mostra il dettaglio dei prezzi  3305 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1697981040863773383
Alloggio (Castello),Ca' di Malta Room 7 di Wonderful Italy,"Ca' di Malta Room 7 di Wonderful Italy | 1 camera da letto
1 camera da letto
1 letto matrimoniale
,
 · 1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2402 € in totale Mostra il dettaglio dei prezzi  2402 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1561661407533430047
Appartamento ⋅ Castello,"Ca' Riello, appartamento a 300mt dall'Arsenale","Ca' Riello, appartamento a 300mt dall'Arsenale | 2 camere da letto
2 camere da letto
3 letti singoli
,
 · 3 letti singoli
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4837 € in totale Mostra il dettaglio dei prezzi  4837 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/44566838
Appartamento ⋅ Castello,Relax a 2 passi da S.Marco–Vista su piccolo canale,"Relax a 2 passi da S.Marco–Vista su piccolo canale | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",3366 € in totale Mostra il dettaglio dei prezzi  3366 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/21854616
Appartamento ⋅ Castello,Corte Formenta,"Corte Formenta | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2,5 bagni (anche di servizio)
,
 · 2,5 bagni (anche di servizio) | Host professionista
Host professionista",11.970 € in totale Mostra il dettaglio dei prezzi  11.970 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1548429736459015298
Appartamento ⋅ Castello,Terrazza di lusso a Venezia e balcone con vista su San Marco,"Terrazza di lusso a Venezia e balcone con vista su San Marco | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",5440 € in totale Mostra il dettaglio dei prezzi  5440 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/39454678
Appartamento ⋅ Castello,Vera Venezia Uno,"Vera Venezia Uno | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",4384 € in totale Mostra il dettaglio dei prezzi  4384 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/54372708
Appartamento ⋅ Castello,Appartamento Superior Biennale R&R,"Appartamento Superior Biennale R&R | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",4938 € in totale Mostra il dettaglio dei prezzi  4938 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/53604799
Casa ⋅ Lido,Casa Giorgina,"Casa Giorgina | 2 camere da letto
2 camere da letto
6 letti
,
 · 6 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",14.792 € 12.192 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1640537801421996522
Appartamento ⋅ Castello,Giardini biennale flat,"Giardini biennale flat | 1 camera da letto
1 camera da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3622 € 3312 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1683262152866841891
Appartamento ⋅ Castello,La Casa del Pittore-Biennale Arsenale,"La Casa del Pittore-Biennale Arsenale | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",4955 € 4526 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/14035254
Appartamento ⋅ Castello,"Arco Apartment, Venezia Centro, Arsenale","Arco Apartment, Venezia Centro, Arsenale | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",4777 € in totale Mostra il dettaglio dei prezzi  4777 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/44568550
Casa ⋅ Castello,La vera Venezia come una persona del luogo,"La vera Venezia come una persona del luogo | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4718 € in totale Mostra il dettaglio dei prezzi  4718 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1459483713862763523
Appartamento ⋅ Castello,"Appartamento di lusso, 3 pax, vicino a Piazza San Marco","Appartamento di lusso, 3 pax, vicino a Piazza San Marco | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",5833 € in totale Mostra il dettaglio dei prezzi  5833 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/15812296
Appartamento ⋅ Castello,[Venezia centro] 5 minuti da San Marco,"[Venezia centro] 5 minuti da San Marco | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",3963 € in totale Mostra il dettaglio dei prezzi  3963 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/820942402659816771
Castello: stanza,Camera elegante e bagno privato,"Camera elegante e bagno privato | 1 letto
1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",2785 € in totale Mostra il dettaglio dei prezzi  2785 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1179747391201190820
Appartamento ⋅ Castello,Ca' del Papa – Appartamento di lusso Laguna,"Ca' del Papa – Appartamento di lusso Laguna | 3 camere da letto
3 camere da letto
4 letti
,
 · 4 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",5862 € 5355 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1634670537815649842
Appartamento ⋅ Castello,Ca' Navagero 3-Riva degli Schiavoni (con terrazza),"Ca' Navagero 3-Riva degli Schiavoni (con terrazza) | 2 camere da letto
2 camere da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
3 bagni
,
 · 3 bagni | Host professionista
Host professionista",10.433 € in totale Mostra il dettaglio dei prezzi  10.433 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/23512302
Appartamento ⋅ Castello,Nel nome della rosa,"Nel nome della rosa | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",6002 € in totale Mostra il dettaglio dei prezzi  6002 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/25849656
Appartamento ⋅ Castello,Ca’ Malatin – Casa Vacanza,"Ca’ Malatin – Casa Vacanza | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3576 € in totale Mostra il dettaglio dei prezzi  3576 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/5188488
Appartamento ⋅ Castello,Hideaway Biennale - Vista sulla laguna,"Hideaway Biennale - Vista sulla laguna | 1 letto matrimoniale
1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",6082 € in totale Mostra il dettaglio dei prezzi  6082 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17244840
Appartamento ⋅ Castello,Bacino San Marco: vista esclusiva R&r,"Bacino San Marco: vista esclusiva R&r | 3 camere da letto
3 camere da letto
3 letti a 2 piazze
,
 · 3 letti a 2 piazze
3,5 bagni (anche di servizio)
,
 · 3,5 bagni (anche di servizio) | Host professionista
Host professionista",12.328 € in totale Mostra il dettaglio dei prezzi  12.328 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/34014328
Appartamento ⋅ San Marco,San Marco 2 min Vaporetto | Silenzioso,"San Marco 2 min Vaporetto | Silenzioso | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",4621 € 4221 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1054283059928628507
Appartamento ⋅ Castello,GuestHost - Appartamento Duplex Arsenale,"GuestHost - Appartamento Duplex Arsenale | 2 camere da letto
2 camere da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
1,5 bagni (anche di servizio)
,
 · 1,5 bagni (anche di servizio) | Host professionista
Host professionista",4301 € in totale Mostra il dettaglio dei prezzi  4301 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/904929611448707983
Appartamento ⋅ Castello,Vera Venezia Due,"Vera Venezia Due | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",4363 € in totale Mostra il dettaglio dei prezzi  4363 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/54364332
Appartamento ⋅ Castello,Lion Palace Deluxe R&R,"Lion Palace Deluxe R&R | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",5409 € in totale Mostra il dettaglio dei prezzi  5409 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/49713213
Appartamento ⋅ Castello,A 21 passi dalla Biennale di Venezia,"A 21 passi dalla Biennale di Venezia | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",7052 € in totale Mostra il dettaglio dei prezzi  7052 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1478133895038051414
Appartamento ⋅ Castello,"Appartamento luminoso, vista canale","Appartamento luminoso, vista canale | 2 camere da letto
2 camere da letto
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3501 € in totale Mostra il dettaglio dei prezzi  3501 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/50670240
Alloggio (Castello),Autentica Casa Veneziana Ristrutturata a San Marco,"Autentica Casa Veneziana Ristrutturata a San Marco | 3 camere da letto
3 camere da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
3 bagni
,
 · 3 bagni | Host privato
Host privato",5522 € in totale Mostra il dettaglio dei prezzi  5522 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1689203202454795388
Appartamento ⋅ Castello,Appartamento romantico veneziano vicino all'ingresso dell'Arsenale,"Appartamento romantico veneziano vicino all'ingresso dell'Arsenale | 1 camera da letto
1 camera da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",2077 € 1902 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1609702742836034754
Castello: stanza,Appartamento Venice Rainbow Biennale 3,"Appartamento Venice Rainbow Biennale 3 | 1 letto
1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",2320 € in totale Mostra il dettaglio dei prezzi  2320 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1314364005004963547
Appartamento ⋅ Castello,Ca' Degli Schiavoni - Canal Grande View Penthouse,"Ca' Degli Schiavoni - Canal Grande View Penthouse | 3 camere da letto
3 camere da letto
4 letti
,
 · 4 letti
3 bagni
,
 · 3 bagni | Host privato
Host privato",10.790 € in totale Mostra il dettaglio dei prezzi  10.790 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1577648500181316540
Appartamento ⋅ Castello,Loft Giardini Gold per l'inaugurazione della Biennale,"Loft Giardini Gold per l'inaugurazione della Biennale | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",2760 € 2521 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1676893608312814407
Appartamento ⋅ San Marco,Ca Ducale Steno charme a 2 minuti da San Marco,"Ca Ducale Steno charme a 2 minuti da San Marco | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",3980 € in totale Mostra il dettaglio dei prezzi  3980 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1503802846426640600
Appartamento ⋅ Castello,doge's house,"doge's house | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",5689 € 4689 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1679749385307078283
Appartamento ⋅ Castello,Ca delle Gorne,"Ca delle Gorne | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",4400 € in totale Mostra il dettaglio dei prezzi  4400 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1632591955070724620
Castello: stanza,Accogliente camera economy nel cuore di Venezia,"Accogliente camera economy nel cuore di Venezia | 1 letto matrimoniale
1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2651 € in totale Mostra il dettaglio dei prezzi  2651 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/23462657
Appartamento ⋅ Castello,CANAL DREAM nel cuore di VENEZIA San Marco e Biennale,"CANAL DREAM nel cuore di VENEZIA San Marco e Biennale | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",7116 € in totale Mostra il dettaglio dei prezzi  7116 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/53748479
Appartamento ⋅ Castello,Festa di Carnevale in un appartamento dell'Arsenale,"Festa di Carnevale in un appartamento dell'Arsenale | 2 letti
2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",1513 € 1395 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1613209590992756872
Alloggio (Castello),Esperienza in barca Hotel galleggiante,"Esperienza in barca Hotel galleggiante | 2 camere da letto
2 camere da letto
2 letti matrimoniali
,
 · 2 letti matrimoniali
1 bagno
,
 · 1 bagno | Host privato
Host privato",2911 € 2659 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/877337207890881386
Appartamento ⋅ Castello,Piano Nobile con Vista Campo Bragora Lusso e Relax,"Piano Nobile con Vista Campo Bragora Lusso e Relax | 3 camere da letto
3 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",8148 € in totale Mostra il dettaglio dei prezzi  8148 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/53229917
Appartamento ⋅ Castello,Terrazza Acquamarina (centro storico),"Terrazza Acquamarina (centro storico) | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",5864 € in totale Mostra il dettaglio dei prezzi  5864 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/777989638097946158
Appartamento ⋅ Castello,TERRACE 3BDR 2BATH TOP loc S.Marc/Biennale,"TERRACE 3BDR 2BATH TOP loc S.Marc/Biennale | 3 camere da letto
3 camere da letto
4 letti
,
 · 4 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",7095 € in totale Mostra il dettaglio dei prezzi  7095 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/49360706
Castello: stanza,Ca' Leone - Venezia Ampia stanza con bagno privato,"Ca' Leone - Venezia Ampia stanza con bagno privato | 2 letti
2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4790 € 4320 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1178349577327642567
Appartamento ⋅ Castello,Rilassati su una terrazza con vista sul canale!,"Rilassati su una terrazza con vista sul canale! | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",7010 € 6309 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/3169118
Appartamento ⋅ Castello,"*Perfetta casa per la Biennale con terrazza, 5 CAMERE DA LETTO, 2,5 BAGNI.","*Perfetta casa per la Biennale con terrazza, 5 CAMERE DA LETTO, 2,5 BAGNI. | 5 camere da letto
5 camere da letto
8 letti
,
 · 8 letti
2,5 bagni (anche di servizio)
,
 · 2,5 bagni (anche di servizio) | Host professionista
Host professionista",10.150 € in totale Mostra il dettaglio dei prezzi  10.150 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51757849
Appartamento ⋅ Lido di Venezia,"OASIS-Blue Lagoon Apt, 5 pax, vista laguna.","OASIS-Blue Lagoon Apt, 5 pax, vista laguna. | 3 camere da letto
3 camere da letto
5 letti
,
 · 5 letti
1,5 bagni (anche di servizio)
,
 · 1,5 bagni (anche di servizio) | Host privato
Host privato",15.240 € in totale Mostra il dettaglio dei prezzi  15.240 € in totale,No,No,https://www.airbnb.it/rooms/7681285
Appartamento ⋅ Venezia,"*Perfetta casa per la Biennale con terrazza, 5 CAMERE DA LETTO, 2,5 BAGNI.","*Perfetta casa per la Biennale con terrazza, 5 CAMERE DA LETTO, 2,5 BAGNI. | 5 camere da letto
5 camere da letto
8 letti
,
 · 8 letti
2,5 bagni (anche di servizio)
,
 · 2,5 bagni (anche di servizio) | Host professionista
Host professionista",10.150 € in totale Mostra il dettaglio dei prezzi  10.150 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51757849
Appartamento ⋅ Venezia,Appartamento Giardini Venezia Biennale,"Appartamento Giardini Venezia Biennale | 1 camera da letto
1 camera da letto
2 letti singoli
,
 · 2 letti singoli
1 bagno
,
 · 1 bagno | Host privato
Host privato",5627 € in totale Mostra il dettaglio dei prezzi  5627 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/23122806
Appartamento ⋅ Venezia,Casa Matilde a 2 passi dalla Biennale,"Casa Matilde a 2 passi dalla Biennale | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",4611 € in totale Mostra il dettaglio dei prezzi  4611 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1133406627410715320
